Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
JAMHURI SHG,Woodley,50,16,4800
JAMII BORA,Ugunja,5,4,500
JARIBU,Ng'ando,7,4,600
JARIBU KAMA UNAWEZA,Sarang'ombe,84,5,500
JAZO WOMEN,North Sakwa,2,2,200
JEC,Central Gem,5,4,500
JEMBE YADH KECH C,South East Alego,5,3,400
JEMBE YAND KECH,South East Alego,20,8,900
JEMOVA LADIES,Waithaka,7,1,200
JENGA,Riruta,6,4,400
JENGA B,Riruta,4,2,200
JERUSALEM,Homa Bay Arujo,12,1,100
JERUSALEM,Usonga,12,1,100
JERUSALEM MOTHERS,North Sakwa,6,1,100
JESCA ODEDE,Lindi,53,13,1600
JESUS IS LORD,Central Sakwa,6,2,200
JI GOMBO NENO,Central Sakwa,13,7,700
JI-UNDENI,Sarang'ombe,2,2,500
JIERI STAR,Wangchieng,1,1,100
JIINUWE,West Kamagak,8,8,900
JIJENGE 46,Kawangware,2,1,100
JIJENGE WOMEN,Mugumu-Ini,6,5,1200
JIKAZA,Kagan,6,3,300
JIKAZE,Central Kanyamkago,19,1,200
JIKAZE,East Kamagak,19,1,100
JIKAZE,Huruma,19,4,400
JIKAZE,Ugunja,19,6,600
JIKAZE  MPENDWA,Sigomere,1,1,100
JIKAZE  PAMOJA,Sigomere,1,1,400
JIKAZE A,West Sakwa,21,6,600
JIKAZE A,West Yimbo,21,9,1100
JIKAZE ANGELS,Sigomere,4,3,500
JIKAZE AYANY SHG,Woodley,21,2,500
JIKAZE B,West Sakwa,14,2,300
JIKAZE B,West Yimbo,14,6,800
JIKAZE BIDII,Sigomere,3,2,200
JIKAZE BINGUNI,Sigomere,6,2,200
JIKAZE C,West Yimbo,8,5,600
JIKAZE D,West Yimbo,9,7,800
JIKAZE DUNIANI,Sigomere,1,1,100
JIKAZE E,West Yimbo,7,6,600
JIKAZE F,West Yimbo,5,4,500
JIKAZE G,West Yimbo,9,6,600
JIKAZE H,West Yimbo,8,5,600
JIKAZE HARAKA,Sigomere,3,2,200
JIKAZE I,West Yimbo,1,1,100
JIKAZE J,West Yimbo,7,6,700
JIKAZE JITAHIDI,Sigomere,4,3,400
JIKAZE K,West Yimbo,6,4,700
JIKAZE KIBERA SHG,Woodley,41,14,4430
JIKAZE KIMOYOMOYO,Sigomere,7,5,500
JIKAZE L,West Yimbo,13,8,1200
JIKAZE MAENDELEO,Sigomere,7,4,700
JIKAZE MAISHANI,Sigomere,4,3,400
JIKAZE MPENDWA,Sigomere,9,9,900
JIKAZE MWANGAZA,Sigomere,6,4,500
JIKAZE MWENDO,Sigomere,7,5,700
JIKAZE NA AMANI,Sigomere,5,4,400
JIKAZE NDUGU,Sigomere,17,5,1100
JIKAZE NEEMA,Sigomere,2,2,200
JIKAZE PAMOJA,Sigomere,3,2,200
JIKAZE TUENDELEE,Sigomere,2,2,200
JIKAZE TUFIKE,Sigomere,2,1,100
JIKAZE TUINUANE,Sigomere,7,3,400
JIKAZE TWENDE,Sigomere,7,4,400
JIKAZE WOMEN,Wiga,1,1,100
JIKUZE 46 ,Kawangware,1,1,300
JIMBI,Nyayo Highrise,19,2,300
JINA RIVER SIDE A,Yala Township,15,6,700
JINA RIVER SIDE B,Yala Township,9,5,600
JIPANORAN SHG,Sarang'ombe,38,27,6620
JIPE MOYO,Kagan,3,1,100
JIRANI HILL SHG,Makina,18,11,1100
JIRANI MOYIE,North Alego,5,3,300
JIRANI MWEMA,Lindi,47,2,200
JIRANI MWEMA,Sigomere,47,5,600
JIRANI MWEMA,South Uyoma,47,1,100
JIRANI MWEMA,West Alego,47,1,100
JIRANI MWEMA,West Uyoma,47,10,1100
JIRANI MWEMA B,Ugunja,11,2,200
JIRANI MWEMA SHG,Lindi,54,18,2900
JIRANI MWEMA SHG,Sarang'ombe,54,2,200
JIRANI PAMOJA SHG,Sarang'ombe,22,12,1400
JIRANI WELFARE,Sarang'ombe,33,20,4600
JIRANI WOMAN GROUP,North Ugenya,5,3,300
JIRANI WOMEN,Lindi,14,3,400
JIROMRE SHG,Lindi,20,18,2800
JITAHIDI,South Sakwa,5,2,200
JITAHIDI A,South Uyoma,7,1,200
JITAHIDI A,West Uyoma,7,1,100
JITAHIDI SHG,West Kamagak,8,2,200
JITEGEMEE,East Asembo,14,1,100
JITEGEMEE ,Wangchieng,11,8,800
JIW CHUNYI SHG,South Sakwa,10,3,300
JIW DENDI,Central Sakwa,112,6,600
JIW DENDI,Sarang'ombe,112,35,4600
JIW DENDI A,Yimbo East,8,3,300
JIW DENDI C,Yimbo East,5,1,100
JIW DENDI D,Yimbo East,8,1,100
JIW DENDI E,Yimbo East,8,2,200
JIW DENDI F,Yimbo East,6,1,200
JIW PACHI,East Ugenya,9,5,500
JIW PACHI,North Ugenya,9,1,300
JIW PACHI WOMEN,South Sakwa,15,4,400
JIWRI,East Asembo,12,4,400
JIWRI NYAIMA,Central Karachuonyo,5,2,200
JIWRI SHG,West Sakwa,5,4,400
JIYOUS ,Imara Daima,1,1,200
JO MOYIE MASAMRA,East Ugenya,23,13,1500
JOCHIRO NGIYA SHG,South East Alego,6,6,600
JOEY WOMEN GROUP,South East Alego,4,3,500
JOHERA MOGENORE,East Ugenya,4,3,300
JOINT EFFORT PROGRESSIVE,West Alego,3,2,300
JOKA DHIANG SHG,North Alego,1,1,100
JOKA NYOM0LO,West Sakwa,5,3,300
JOKA NYOTUNGA A,Central Sakwa,3,1,100
JOKA NYOTUNGA B,Central Sakwa,3,1,100
JOKA PHILEMON,West Kamagak,2,1,100
JOKA SUSANA,West Kasipul,3,3,300
JOKINDA,Gem East,12,3,300
JOKINDA,West Uyoma,12,1,100
JOKINDA A SHG,South Gem,8,2,200
JOKINDA B SHG,South Gem,2,2,200
JOKINDA C SHG,South Gem,4,4,400
JOKINDA E MA KEYO,Central Alego,3,2,400
JOKO NYANGO A,Yimbo East,3,1,200
JOKO NYANGO B,Yimbo East,5,2,300
JOKONYANGO,West Yimbo,2,2,300
JOKOREM KOLENYO SHG,Central Seme,8,1,200
JOMA OYIE B SHG,Central Alego,8,2,300
JOMOBET EMANENO SHG,West Gem,8,3,300
JOMOFUO A,West Gem,5,5,600
JOMOFUO B,West Gem,2,2,200
JOMOYIE,Ugunja,4,2,200
JOMOYIE GROUP,South Gem,6,1,100
JONDHIER,Mfangano Island,4,4,400
JORIT KIYE PAP BORO,Central Alego,7,5,1800
JOTICH RUOTH MANGUON,East Ugenya,7,4,500
JOVIAL SHG,Kanyamwa Kosewe,3,3,300
JOW DENDI D,Yimbo East,1,1,100
JOY SEEKERS,Dandora Area Ii,32,3,300
JOY SHG,Laini Saba,9,5,1100
JOY WOMAN GROUP,North Ugenya,7,2,200
JOYLAND,Sidindi,6,3,700
JOYLAND S.H.G,Siaya Township,4,4,400
JOYLAND SIALA B,Central Kamagambo,5,2,400
JUAKALI ARTISAN ,Maringo/Hamza,10,3,400
JUAKALI B,West Gem,6,5,600
JUAKALI BEST ,Maringo/Hamza,6,3,900
JUAKALI WILSON SHG,Sarang'ombe,19,1,100
JUAKALI WOMEN SHG,Sarang'ombe,11,3,400
JUKILI SHG,Makina,54,13,2700
JUMAINI RACHAR,West Uyoma,1,1,100
JUMUIA SHG,Huruma,37,31,3500
JUNCTION,Sidindi,6,4,400
JUNCTION KASILA,Lambwe,2,2,200
JUNCTION M,North Kamagambo,2,1,200
JUNCTION NYASUMBI BODABODA,Lambwe,6,5,500
JUNCTION YOUTH,Central Alego,5,4,400
JUNGLE MASTER,Waithaka,11,4,800
JUNIOR DOUBLE,Mutu-Ini,5,3,300
Jabez SHG,Eastleigh South,15,8,800
Jackmrazal Women Group ,Korogocho,16,1,300
Jafema SHG,Korogocho,20,4,500
Jaga,Kabiro,19,6,700
Jaju,Imara Daima,13,11,1100
Jakaranda,Upper Savannah,12,11,1700
Jamaica Reri,Imara Daima,11,5,500
Jambo Junior,Gatina,17,9,1600
Jamii ,Kwa Reuben,14,9,900
Jamii Moja,Utalii,12,2,200
Jaribu 2020,Eastleigh South,22,12,1800
Jarica,Embakasi,36,23,5100
Jasoma,Komarock,8,6,1000
Jeabs,Baba Dogo,14,3,500
Jembroach,Njiru,4,1,100
Jericho,West Karachuonyo,1,1,100
Jerusalem,Karura,25,4,700
Jerusalem ,Kwa Njenga,15,7,700
Jerusalem SHG,Kwa Reuben,19,14,1400
Jestan women,Dandora Area I,25,3,300
Jestan women,Dandora Area Iii,25,1,100
Jewels,Ngei,6,4,400
Jiamini ,Hospital,14,6,600
Jiamini ,Ngei,14,1,100
Jiaminie Group,Dandora Area Iii,11,1,100
Jibambe SHG,Kwa Njenga,6,3,300
Jiinue Group ,Korogocho,19,4,500
Jijenge B ,Mowlem,7,3,300
Jijenge Group,Mowlem,24,12,1400
Jijenge Maisha,Mowlem,8,8,900
Jikaze Kanuku,California,18,12,1200
Jikaze Women ,Mathare North,16,6,700
Jimake,Mabatini,20,5,1000
Jingle Bells,Makongeni,17,5,900
Jipambe 1,Kabiro,11,3,300
Jipambe 2,Kabiro,13,6,700
Jipende,Komarock,5,1,100
Jiran Maili,Mowlem,11,4,400
Jirani Moyie SHG,Hospital,14,1,100
Jirani Moyie SHG,Ngei,14,4,600
Jirani Mwema 100,Nyayo Highrise,22,10,1300
Jirani Ngomongo ,Korogocho,23,10,1000
Jirani Self Help Group,Imara Daima,1,1,100
Jirani Visionary,Dandora Area Iv,10,7,700
Jirani Welfare Help Group ,Imara Daima,1,1,100
Jirani Welfare Self help group ,Imara Daima,13,12,1800
Jireh ,Lower Savannah,7,2,200
Jishughulikie SHG,Kariobangi North,15,3,400
Jishugilikie group,Dandora Area Iii,4,1,100
Jitahidi,Upper Savannah,10,3,300
Jitahidi ,Upper Savannah,11,3,300
Jitegeme 1,Kabiro,15,6,600
Jitegemee,Eastleigh South,6,2,200
Jitegemee 2,Kabiro,14,5,600
Jiulize caregivers ,Mowlem,4,3,300
Jiusishe,Kwa Njenga,7,1,100
Jiw Chunyi ,Kabondo East,4,4,400
Jiwa Friends CBO ,Woodley,26,13,4100
Jiwezeshe SHG,Umoja Ii,6,6,1300
Jobai 001 SHG,Korogocho,19,1,100
Joint Brothers,Dandora Area Iv,4,1,100
Jokanyanam,Makongeni,12,4,600
Jomag,Mathare North,4,3,300
Jonam SHG,Kangemi,7,2,300
Joster Ladies,Pumwani,7,5,500
Jote Self Help Group ,Kangemi,2,1,100
Jote Welfare,Kabiro,17,8,800
Jote Welfare,Kawangware,17,1,100
Joto,Sitatunga,1,1,1
Joy Bringer,Njiru,1,1,100
Joy Group Riara ,Kwa Reuben,5,1,100
Joy Sisters,Ruai,19,7,800
Joy Women,Ngei,5,3,300
Joy Workers,Pumwani,8,7,700
Joy lovers ,Umoja Ii,5,3,900
Joy sisters ,Njiru,2,2,200
Joy winners,California,17,9,900
Joyers,Embakasi,13,6,600
Joyers,Ngei,13,1,100
Joyful group,Sarang'ombe,1,1,100
Joyous ,Imara Daima,3,2,400
Jua kali,Nairobi South,10,5,500
Jua kali trowels,California,7,5,500
Jua kali youth  group,California,6,3,300
Juakali Artisan ,Ngara,9,6,1100
Juakali Best,Ngara,3,1,100
Juakali borasi,Maringo/Hamza,2,1,300
Jubilee ,Kahawa West,4,4,500
Jubilee shg,Kahawa West,2,1,300
Judah,Imara Daima,12,9,1000
Judea Women ,Ruai,3,2,200
Juhudi,Mathare North,6,2,300
Jukumika SHG,Nyayo Highrise,59,7,1100
Jukuze,Kawangware,1,1,100
Junior Action Team,Kabiro,11,5,600
Junior Action Team,Kawangware,11,2,300
Jupiter,California,13,1,200
Jupiter,Kayole Central,13,3,300
Jupiter,Kayole South,13,1,100
Jupiter ,Kayole North,6,5,900
K&s visionary ,Korogocho,1,1,100
K.h.d.o,Korogocho,7,6,1400
K.k.k Group ,Mathare North,7,1,100
KA GOLA,North Kamagambo,3,1,100
KA RASANGA,Central Alego,3,2,200
KA TO TEK,Wangchieng,12,6,600
KA WATER BODA BODA,Siaya Township,1,1,100
KAA NGUMU,West Uyoma,4,2,301
KAA RADA A,East Gem,9,4,400
KAA RADA B,East Gem,3,2,200
KAAGWAYA,West Kasipul,5,4,500
KABAMBLA,North Sakwa,16,7,800
KABER WOMEN,South East Alego,4,3,800
KABERNI TIDONJI JUNIOR ,Wangchieng,10,8,1400
KABERNI TO DONJI,Wangchieng,19,14,1805
KABIRA PWD A,West Alego,11,4,400
KABONDO FARMERS,Kwabwai,4,1,100
KABUONG C,South Uyoma,3,3,300
KABUORO CENTRAL,Central Kamagambo,3,2,200
KABUSARA SHG,Lindi,38,14,2700
KABUYA,North Kamagambo,1,1,100
KACHIENG COMMUNITY,North Uyoma,8,4,400
KACHIENG COMMUNITY,South Uyoma,8,2,200
KACHIENG COMMUNITY,West Asembo,8,1,100
KACHILA,East Kamagambo,3,1,100
KACHOLA BI MOS,Sigomere,2,2,600
KACIP GROUP ,Wangchieng,8,8,2400
KADEMA INUKA,Kabondo East,4,3,300
KADERA MOYIE,West Uyoma,5,5,800
KADERO A,North Sakwa,6,5,900
KADERO B,North Sakwa,7,2,200
KADETE MOYIE,Kabonyo/Kanyagwal,9,1,1
KADHANJA,Central Kasipul,8,5,500
KADHIAMBO,South Gem,4,3,500
KADHIAMBO ,Kabondo West,6,3,1500
KADIALA LAKE,South Uyoma,4,1,200
KADIANGA BUSINESS,North Kamagambo,3,2,200
KADIANGA TOWN,North Kamagambo,2,2,200
KADIENGA A,North Kamagambo,4,2,200
KADIKA SHG,Suna Central,3,3,300
KADINDI,East Gem,8,5,700
KADONGO LADIES,Wasimbete,5,5,500
KADUKE NE GI WANG'I,Kabondo East,13,9,900
KADUNDO MOYIE,South Uyoma,8,7,700
KADUOGO SHG,South Sakwa,3,2,200
KAESO,Sarang'ombe,43,15,2600
KAG 15 stars,Eastleigh North,11,1,1200
KAG 15 stars,Eastleigh South,11,5,1500
KAG turning point,Githurai,17,1,300
KAG turning point,Roysambu,17,1,300
KAGANYO WELFARE,East Asembo,5,1,100
KAGER SHG,North Alego,8,4,1600
KAGILO MOYIE,South Gem,9,7,800
KAGOLA MULTIPURPOSE SHG,North Sakwa,3,1,100
KAGUMO MOYIE,West Alego,10,4,400
KAGUMO MOYIE B,West Alego,4,1,200
KAGWADA MORTOCYCLE,Siaya Township,9,5,500
KAHANYO WELFARE,West Seme,3,1,100
KAHAWA GROUP,East Asembo,3,2,200
KAHAWA SHG,Mugumu-Ini,2,1,300
KAHUHO,Riruta,10,3,300
KAIMOSI SHG,Gatina,14,1,200
KAJA SHG ,Utalii,7,2,200
KAJOHANNA,Muhoroni/Koru,8,1,100
KAJOWI JUNIOR,Central Gem,1,1,100
KAJUMA WOMEN,West Sakwa,4,1,100
KAKA,Mugumu-Ini,19,5,900
KAKA SAA DHI,Central Sakwa,16,1,200
KAKA SAA DHI,East Asembo,16,9,900
KAKA SAA DHI_C.SAKWA,Central Sakwa,7,3,300
KAKAKO A NDIGWA,South Uyoma,4,4,700
KAKAKO B NDIGWA,South Uyoma,8,8,900
KAKAN WOMEN GROUP,South East Alego,5,3,300
KAKDHIMU MOYIE SHG,West Karachuonyo,2,2,200
KAKISUGE,East Kamagambo,12,1,200
KAKIWALU,South Kamagambo,1,1,100
KAKO S.H.G,Kabondo East,4,3,300
KAKOJA,West Kasipul,5,5,500
KAKUMU A,North Uyoma,5,5,600
KALANDIN SUN BODA YOUTHS,East Asembo,13,4,301
KALANGO,East Kamagambo,5,2,200
KALEJO MOYIE,West Yimbo,11,2,200
KALIDHI,Wangchieng,2,2,200
KALIECH,Kabondo East,5,3,300
KALIECH SHG,West Uyoma,1,1,200
KALUKA VISION SHG,Sarang'ombe,5,1,200
KALUO DISABLE SHG,North Alego,5,5,500
KALUO RETIREES SHG,North Alego,10,8,2600
KALUOCH,Central Kasipul,2,2,200
KAMAGA MOTORCYCLE,West Uyoma,10,9,900
KAMAGAK WOMEN GROUP,East Kamagak,8,7,900
KAMAGAMBO A SHG,Kwa,6,4,400
KAMAGAMBO B SHG,Kwa,6,5,500
KAMALUNGA YOUTH GRP,Usonga,8,4,1100
KAMARA WOMEN GROUP,North Uyoma,6,2,200
KAMAS SAFE TRAVELLERS SHG,West Alego,8,4,400
KAMAWERU KONYRI KENDI,North Uyoma,2,1,100
KAMBARE YOUTH INTERVENTION,South Gem,19,13,3150
KAMBI LENDU,Makina,16,4,400
KAMBITI EAST MANGO FARMERS,Mutu-Ini,1,1,300
KAMBOGA FARM DEVELOPMENT,South Gem,6,6,700
KAMENO FAITH,South Gem,11,4,400
KAMGAWO,South Gem,5,5,700
KAMGEM WOMEN,South Gem,5,2,200
KAMIDEGA,North Kamagambo,4,3,300
KAMIDHONDH WG,Central Sakwa,10,10,1300
KAMINYA CATERING,West Sakwa,3,1,100
KAMITO MOYIE,East Asembo,7,6,800
KAMIWA SHG,Sarang'ombe,44,3,300
KAMKOL,Homa Bay Central,4,3,500
KAMKUNJI GROUP,Kanyamwa Kologi,9,4,400
KAMLWANG,East Asembo,11,6,600
KAMONDI WOMEN GROUP ,Wangchieng,18,18,5400
KAMSAMA SILK,Gembe,7,5,500
KAMSUDIA,South Gem,3,1,100
KAMSULA GROUP,Central Gem,7,2,200
KAMUGA,Kabondo East,10,4,400
KAMUGA,South East Alego,10,5,500
KAMUSA SHG,Kakrao,9,4,600
KAMWAMBA WOMEN,West Gem,6,1,100
KAMWODA GROUP,Central Sakwa,19,15,1620
KANDARASI GROUP,Central Sakwa,5,3,300
KANDARIA MOYIE,East Asembo,7,4,500
KANGADO A,West Sakwa,21,8,900
KANGADO B,West Sakwa,19,5,800
KANGO W,West Yimbo,7,4,400
KANO LENGO BORA,Lindi,29,10,1800
KANYADOL SHG,West Kamagak,4,2,300
KANYADORI SHG,South Sakwa,2,2,200
KANYAINDA,Kagan,5,4,400
KANYAKINYE,North Kamagambo,3,2,200
KANYAKLA,Kabondo East,10,1,100
KANYAKLA,South Gem,10,3,400
KANYAKLA,Yimbo East,10,3,1500
KANYAKLA MAR JOKRISTO,Central Alego,2,2,300
KANYAKLA MAR JOKRISTO B,Central Alego,2,2,200
KANYAKLA NYALO,Central Kamagambo,2,2,200
KANYAKLA SHG,Sarang'ombe,37,3,500
KANYAKLA WOMEN,West Alego,14,5,700
KANYALANDO,Kanyaluo,6,5,500
KANYALUO SOUTH,Kanyaluo,6,1,100
KANYAMAJI TRADERS ,Central Alego,7,5,600
KANYANDIGA,Wangchieng,9,4,500
KANYANGO GROUP,Wangchieng,4,3,300
KANYANYENYO ,West Kanyamkago,10,2,600
KANYAWO SHG,Central Alego,9,8,800
KANYENYO MOYIE,South Sakwa,10,6,1900
KANYIWUOR B,East Gem,1,1,100
KANYIWUOR C,East Gem,1,1,100
KANYIWUOR E,East Gem,3,2,200
KANYIYWEN WOMEN,Central Alego,4,3,300
KANYOGIRA,Homa Bay East,3,2,200
KANYWAGA,Kabuoch North,3,2,200
KAOKO,Homa Bay East,1,1,100
KAPASI WOMEN,Lambwe,4,4,400
KAPOLO MARKET,Central Sakwa,1,1,600
KAPONDO MOYIE,Yimbo East,1,1,100
KAPUOTHE SUPPORT GROUP,Nyalenda B,12,1,100
KAR KONYRUOK,North Sakwa,8,2,200
KARATUAR SELF,East Gem,3,1,100
KAREMO,Siaya Township,1,1,100
KARIOBANGI FRIENDS ,Lucky Summer,1,1,100
KAROTA,Kabondo East,3,2,200
KARUA SHG,West Gem,9,6,600
KASAU STAFF,Yimbo East,14,10,1000
KASI DEGI MOGWEDHI,Central Alego,7,6,900
KASIBEDI,Kabondo East,1,1,100
KASIBOS SUPER TEAM,West Karachuonyo,5,1,100
KASIENG'O,Homa Bay Central,2,2,400
KASIGIRA LADIES,Wasimbete,3,3,300
KASINO,West Alego,6,2,300
KASINOGO,West Sakwa,2,1,100
KASIPUL JURYMARY,South Kasipul,3,3,600
KASIRI FC A,North Uyoma,13,8,1300
KASIRI GREEN,North Uyoma,3,2,200
KASIRIMBE MOYIE,Central Sakwa,1,1,100
KASIYO A,West Asembo,13,5,600
KASIYO B,West Asembo,6,2,200
KASIYO C,West Asembo,6,2,200
KASIYO D,West Asembo,5,4,600
KASKORI,West Alego,3,2,300
KASKORI WOMEN,East Asembo,8,2,200
KASKORI WOMEN,South Gem,8,2,200
KASU,Mugumu-Ini,28,9,1200
KATEK TIOME ANG'O,South Sakwa,3,2,300
KATEK TIOME ANGO,Wangchieng,14,1,200
KATEK TIOME ANGO,West Asembo,14,2,200
KATEK TO WE,West Sakwa,13,3,300
KATEMA WELFARE,Sarang'ombe,17,2,400
KATHIENO C,East Ugenya,4,3,300
KATHIENO STARS,West Alego,7,1,500
KATIENO B,Central Karachuonyo,6,3,300
KATIENO JIKO,Central Karachuonyo,5,4,400
KATIENO RURAL CBO,North Kanyamkago,3,2,300
KATIENO RURAL CBO B,North Kanyamkago,1,1,100
KATUMA,Homa Bay Arujo,2,1,200
KAUDHA DEV,South Sakwa,5,5,500
KAUGAGI UDENDA CHV,West Alego,5,2,200
KAUGAGI WATER SUPP,West Alego,11,1,100
KAWAHONYA UNITED,North Gem,9,8,1500
KAWAKA SHOFCO B,West Uyoma,8,4,400
KAWAMANGARIA,West Asembo,8,7,700
KAWANGA SOUTH SHG,Lindi,16,1,300
KAWATER YOUTH,South Uyoma,7,5,500
KAWATURI B,West Uyoma,10,8,800
KAWATURI C,West Uyoma,8,4,400
KAWEKE WOMEN SHG,Kasgunga,3,3,300
KAWERE,East Asembo,4,2,200
KAWERE A,South Gem,2,1,100
KAWERE B,South Gem,2,1,100
KAWERE MOYIE,Siaya Township,5,1,200
KAWERE MOYIE,South East Alego,5,1,300
KAWERE SHG,Sarang'ombe,28,21,4000
KAWINO ACTIVE MOTHERS,South Sakwa,5,2,300
KAWUOR LOMA,South Gem,5,5,700
KAWUOR WOMEN,South Gem,11,8,800
KAYALA WOMEN GROUP,Gem West,2,2,200
KAYAP,Central Karachuonyo,5,4,400
KAYOLE,West Sakwa,6,4,2100
KAYOLE VISIONARY,Kayole South,4,2,300
KAYOO ONDISORE,West Karachuonyo,2,2,200
KAYOO SHG,West Kasipul,4,2,200
KAYUDA A,South Sakwa,2,1,100
KAYUDA B,South Sakwa,3,2,400
KAYUDO S.H,South Sakwa,1,1,100
KAZA AWENDO,South Kanyamkago,4,4,400
KAZA MOYO SHG,Kondele,22,1,100
KAZA MWENDO,Sigomere,4,1,100
KAZA MWENDO B,West Uyoma,5,3,300
KAZA ROHO A,West Gem,5,4,400
KAZAMOYO GROUP,Sarang'ombe,42,1,100
KAZAMOYO GROUP,Woodley,42,8,1300
KAZAMWENDO A,South Uyoma,3,1,100
KAZAMWENDO A,West Uyoma,3,2,200
KAZAMWENO,Kabonyo/Kanyagwal,3,1,100
KCCOP,West Alego,5,4,600
KECC,California,13,6,1100
KEL KENDI,North Kanyamkago,4,1,100
KEMAREYO,Laini Saba,14,5,500
KENDA SHG,West Karachuonyo,7,4,400
KENYA @ 50 WOMEN GROUP,Sarang'ombe,41,21,2100
KENYATAA CHURCH ORIGINAL,Woodley,35,2,400
KENYATTA MARKET TOGETHERNESS,Lindi,18,16,1800
KENYATTA ORIGINAL CHURCH,Woodley,14,1,200
KENYATTA QUEEN'S,Woodley,19,3,300
KHASENYE SELF HELP,Sarang'ombe,2,1,200
KHOSIMU,Kayole South,19,10,1100
KIAMATHE,Riruta,1,1,100
KIAMBIU BARAKA SELF HELP GROUP ,Eastleigh South,1,1,100
KIAMBU STAGE,Riruta,11,6,700
KIAMG'OMBE ,Imara Daima,1,1,300
KIANDA B,Mutu-Ini,1,1,100
KIANDA BLESSED LADIES,Sarang'ombe,2,1,100
KIANDA EXPRESS SHG,Sarang'ombe,47,23,2900
KIANDA JUA KALI SLUMS,Sarang'ombe,27,11,1300
KIANDA LEGACY,Sarang'ombe,18,5,1800
KIANDA METRO,Sarang'ombe,88,50,10100
KIANDA NEIGHBORS WELFARE ASS,Woodley,41,7,1200
KIANDA STARS,Sarang'ombe,29,4,1100
KIANYANDEGO,South Kamagambo,5,3,400
KIBALI SHG,Central Kasipul,11,4,400
KIBERA QUEENS ,Lindi,15,9,3900
KIBIRA SHG A,Kwa,3,2,200
KIBIRA SHG B,Kwa,1,1,100
KIBRA CLASSIC,Lindi,18,1,100
KIBRA DC,Makina,14,2,200
KIBRA JOY INITIATIVE,Laini Saba,14,3,1200
KIBRA LORD LAST CALL CHURCH,Sarang'ombe,16,5,900
KIBRA USALAMA DISABLED,Laini Saba,7,4,400
KIBRA WEST SHOFCO,Makina,43,11,1500
KIBRA ZULU YOUTH GROUP,Makina,13,10,1000
KIBUON,Homa Bay East,8,6,1000
KIBUON WOMEN,Kendu Bay Town,8,3,400
KIBUYE WOMEN,North Sakwa,10,1,200
KIDAM,Homa Bay East,3,2,200
KIDI LWANDA,Lindi,17,6,1600
KIDIDI W,West Sakwa,4,3,300
KIDOGO CHETU SHG,Sarang'ombe,35,11,4700
KIGARO 1,Mutu-Ini,18,16,4800
KIHOMA,South Kasipul,4,1,100
KIHOSI WOMEN,North Sakwa,12,9,1000
KIJAWA,Homa Bay Arujo,3,3,300
KIKUYU CLOSE,Ng'ando,6,4,400
KIKWA OCHIENG B,Central Alego,4,3,400
KIMA,Ngei,3,1,100
KIMACMAK,Ng'ando,9,4,500
KIMANYI SHG,South Kasipul,4,1,300
KIMANYI SHG,West Kasipul,4,3,700
KIMOSI,North Kamagambo,1,1,200
KINDA,Wasweta Ii,19,3,500
KINDA,West Alego,19,1,100
KINDA A,Awasi/Onjiko,1,1,1
KINDA BER,Central Kanyamkago,26,1,100
KINDA BER,East Kanyamkago,26,2,200
KINDA BER,West Gem,26,8,1100
KINDA BER E,East Kanyamkago,5,1,100
KINDA BER E,South Kanyamkago,5,3,400
KINDA BER SHG.,Kendu Bay Town,3,3,300
KINDA BLUE SHG,Sarang'ombe,17,5,500
KINDA E SINANI,Usonga,2,2,500
KINDA E TEKO,Central Alego,41,5,500
KINDA E TEKO,East Ugenya,41,1,100
KINDA E TEKO,South Gem,41,1,100
KINDA E TEKO DAGO,Central Sakwa,6,2,200
KINDA E TEKO SEJE,West Alego,14,6,600
KINDA ENGWECH,Kibiri,3,1,100
KINDA ETEKO  SHG,Kendu Bay Town,5,5,500
KINDA GITIM MISORI,West Uyoma,7,3,300
KINDA GROUP,North Ugenya,23,3,300
KINDA GROUP,South Gem,23,2,200
KINDA KENDE CBO,North Karachuonyo,8,5,500
KINDA KOMOLO,Siaya Township,3,3,500
KINDA KWER,West Alego,4,2,200
KINDA MASALA C,North Uyoma,5,4,400
KINDA MOYIE,West Alego,9,3,400
KINDA NYAWANA,North Karachuonyo,1,1,100
KINDA OSIEPE WOMEN,Ugunja,1,1,100
KINDA SELF A,North Gem,7,6,800
KINDA SELF B,North Gem,15,10,1000
KINDA SELF C,North Gem,9,6,700
KINDA SELF D,North Gem,6,3,300
KINDA SELF E,North Gem,12,9,1100
KINDA SELF F,North Gem,5,3,300
KINDA SELF G,North Gem,2,2,200
KINDA SELF H,North Gem,3,2,200
KINDA SELF I,North Gem,3,1,100
KINDA SELF J,North Gem,3,3,300
KINDA SELF K,North Gem,8,2,200
KINDA WOMEN  B,East Gem,12,3,300
KINDA WOMEN APWOYO A,West Gem,7,5,600
KINDA WOMEN GROUP,West Yimbo,22,14,1400
KINDU,Kabondo West,2,1,200
KING FISHER,Waithaka,11,6,900
KING'S,East Kamagak,2,1,100
KINGDOM,Central Alego,7,5,700
KINGS WELFARE ,Imara Daima,14,11,1100
KINYAFUNA ,Imara Daima,14,5,600
KIOMBI,South Kasipul,3,1,100
KIPEPEO,Gem West,3,1,100
KIPEPEO ARISE & SHINE,Laini Saba,15,6,700
KIPINGI OPHANAGE,Kabondo East,6,5,500
