Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
BIDII A,West Uyoma,4,1,100
BIDII B,West Uyoma,4,1,100
BIDII HULIPA,Lindi,58,7,900
BIDII LURI,Central Gem,3,3,300
BIDII LWANDA,South Uyoma,3,2,200
BIDII MODERN,East Kamagambo,8,2,200
BIDII MOTOMOTO,Imara Daima,8,5,1100
BIDII SAVINGS AND LOANS,South Sakwa,3,2,200
BIDII ULHOWE,Sidindi,3,3,400
BIDII UPRISING WOMEN,Kwabwai,4,2,400
BIDII UWEZO WOMEN,Kwabwai,9,9,900
BIDII WOMAN GROUP ,South Kanyamkago,5,5,1500
BIDII WOMEN,North Ugenya,6,4,400
BIDII WOMEN GROUP,Kayole South,21,7,700
BIDII WOMEN GROUP,Ukwala,21,2,1110
BIG BROTHER ASSOCIATION,Kasgunga,1,1,100
BIG SISTERS,Waithaka,7,1,300
BIG TEN WOMEN,South Sakwa,7,4,400
BII MOS SHG,Kendu Bay Town,56,1,100
BII MOS SHG,Sarang'ombe,56,19,3600
BIMOS,Homa Bay East,10,3,300
BIMOS WOMEN GROUP,Yimbo East,3,1,100
BINGWA CBO,Makina,21,6,6000
BINTI SHUPAVU,Kokwanyo/Kakelo,1,1,100
BIYE JOKINDA,South Gem,8,6,700
BLESSED,West Yimbo,14,2,200
BLESSED HANDS,North Karachuonyo,5,4,500
BLESSED JOSEPH,North Sakwa,5,4,400
BLESSED LADIES,Sarang'ombe,17,1,100
BLESSED MARY,North Sakwa,2,1,100
BLESSED PARTNERS,Siaya Township,3,3,305
BLESSED PARTNERS A,East Asembo,18,1,100
BLESSED PARTNERS A,West Asembo,18,6,600
BLESSED SHG,Kakrao,52,3,300
BLESSED SHG,Laini Saba,52,29,6800
BLESSED SOULS,South Sakwa,2,1,100
BLESSED TO BLESS,Mugumu-Ini,11,1,100
BLESSED WOMEN,Kanyamwa Kologi,18,3,300
BLESSED WOMEN,Kanyamwa Kosewe,18,2,200
BLESSING,West Asembo,8,2,200
BLESSING OLD AGE A,East Gem,7,2,200
BLESSING OLD AGE B,East Gem,5,3,400
BLESSING OLD AGE C,East Gem,3,2,200
BLESSING'S,West Sakwa,8,6,700
BLESSINGS,East Kamagak,17,10,1400
BLESSINGS DEVELOPMENT,West Sakwa,5,3,400
BLESSINGS STAR,Sidindi,2,1,100
BLESSINGS WOMEN GROUP,Gem West,2,1,100
BLUE LIGHT,Wangchieng,6,4,400
BLUE STAR,Central Kasipul,13,6,700
BLUES SHG,Lindi,29,7,700
BODA,Gem West,13,5,700
BODABODA TEN STAR,North Ugenya,8,4,400
BODI WOMEN,North Sakwa,4,1,300
BOGEBU SHG,Lindi,5,4,1200
BOHORERA SHG A,Masaba,2,2,300
BOHORERA UPENDO SHG,Masaba,4,2,200
BOKISO WOMEN GROUP,Central Sakwa,12,7,700
BOLRUOK,South East Alego,7,3,300
BOMARASO NETWORK,Kanyadoto,3,2,200
BOMBOLULU INNOVATORS,Sarang'ombe,31,7,800
BONDE C,North Uyoma,8,5,600
